locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM1594,2,0.62,0.21,0.15,1.0,"Cobalamin, heme, phycobilin and porphyrin",Heme oxygenase,24h,PMM1594,locus_tag:locus_tag
PMM1596,2,-0.25,0.71,0.5,0.52,Other,Isocitrate dehydrogenase,24h,PMM1596,locus_tag:locus_tag
PMM1599,2,-0.17,0.08,0.06,0.61,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1599,locus_tag:locus_tag
PMM1600,2,0.74,0.33,0.24,0.97,Transport and binding proteins,"putative Na+/H+ antiporter, CPA2 family",24h,PMM1600,locus_tag:locus_tag
PMM1601,2,2.14,0.09,0.06,0.01,Other,phosphorylase,24h,PMM1601,locus_tag:locus_tag
PMM1602,2,1.45,0.33,0.23,0.19,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1602,locus_tag:locus_tag
PMM1603,2,2.15,1.32,0.93,0.0,Regulatory functions,putative ribonuclease III,24h,PMM1603,locus_tag:locus_tag
PMM1604,2,-1.43,0.91,0.64,0.02,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1604,locus_tag:locus_tag
PMM1605,2,1.89,1.01,0.71,0.05,Protein modification and translation factors,possible 16S rRNA processing protein RimM,24h,PMM1605,locus_tag:locus_tag
PMM1606,2,-0.5,0.4,0.28,0.36,Other,Glutamine-fructose-6-phosphate transaminase (isomerizing),24h,PMM1606,locus_tag:locus_tag
PMM1607,2,-2.05,0.82,0.58,0.0,Photosystem I,Photosystem I subunit PsaC,24h,PMM1607,locus_tag:locus_tag
PMM1608,2,-3.46,0.83,0.59,0.0,"Fatty acid, phospholipid and sterol metabolism",acyl carrier protein (ACP),24h,PMM1608,locus_tag:locus_tag
PMM1609,2,-3.09,0.47,0.33,0.0,"Fatty acid, phospholipid and sterol metabolism",3-oxoacyl-[acyl-carrier-protein] synthase II,24h,PMM1609,locus_tag:locus_tag
PMM1610,2,-1.86,0.7,0.49,0.0,Other,Transketolase,24h,PMM1610,locus_tag:locus_tag
PMM1611,2,1.65,0.15,0.11,0.15,Thiamine,ThiC family,24h,PMM1611,locus_tag:locus_tag
PMM1613,2,0.92,0.23,0.17,0.4,Other,Zinc metallopeptidase M20/M25/M40 family,24h,PMM1613,locus_tag:locus_tag
PMM1615,2,2.15,1.06,0.75,0.01,"DNA replication, recombination, and repair",Holliday junction DNA helicase RuvB,24h,PMM1615,locus_tag:locus_tag
PMM1616,2,0.8,0.39,0.28,0.45,Other,tmRNA binding protein SmpB,24h,PMM1616,locus_tag:locus_tag
PMM1617,2,-1.28,0.12,0.08,0.5,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1617,locus_tag:locus_tag
PMM1619,2,-0.29,0.27,0.19,0.82,Regulatory functions,two-component response regulator,24h,PMM1619,locus_tag:locus_tag
PMM1622,2,1.39,0.48,0.34,0.15,Murein sacculus and peptidoglycan,Rod shape determining protein,24h,PMM1622,locus_tag:locus_tag
PMM1623,2,3.08,0.94,0.67,0.0,"DNA replication, recombination, and repair",single-stranded DNA-binding protein,24h,PMM1623,locus_tag:locus_tag
PMM1625,2,0.64,0.4,0.28,1.0,Amino acids and amines,putative adenosylhomocysteinase,24h,PMM1625,locus_tag:locus_tag
PMM1626,2,2.25,0.32,0.23,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1626,locus_tag:locus_tag
PMM1629,2,1.2,0.0,0.0,0.21,Transport and binding proteins,"Type II alternative RNA polymerase sigma factor, sigma-70 family",24h,PMM1629,locus_tag:locus_tag
PMM1630,2,-0.14,0.05,0.03,0.77,Transport and binding proteins,"MgtE family, putative magnesium transport protein",24h,PMM1630,locus_tag:locus_tag
PMM1634,2,1.25,0.85,0.6,0.28,"DNA replication, recombination, and repair","DNA gyrase, subunit B",24h,PMM1634,locus_tag:locus_tag
PMM1635,2,-0.23,0.67,0.47,0.5,Aminoacyl tRNA synthetases and tRNA modification,tRNA delta-2-isopentenylpyrophosphate (IPP) transferase,24h,PMM1635,locus_tag:locus_tag
PMM1636,2,-0.6,0.58,0.41,0.89,Protein modification and translation factors,Translation Initiation factor 3,24h,PMM1636,locus_tag:locus_tag
PMM1639,2,-0.17,0.42,0.29,0.51,Protein and peptide secretion,Preprotein translocase SecA subunit,24h,PMM1639,locus_tag:locus_tag
PMM1640,2,0.23,1.2,0.85,1.0,Regulatory functions,"putative acetyltransferase, GNAT family",24h,PMM1640,locus_tag:locus_tag
PMM1642,2,0.15,0.24,0.17,1.0,Regulatory functions,possible transcription regulator,24h,PMM1642,locus_tag:locus_tag
PMM1643,2,-1.75,0.85,0.6,0.0,Riboflavin,"Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain",24h,PMM1643,locus_tag:locus_tag
PMM1644,2,-3.4,1.11,0.78,0.0,Photosystem II,possible Photosystem II reaction center Z protein (PsbZ),24h,PMM1644,locus_tag:locus_tag
PMM1648,2,0.28,0.08,0.06,0.78,Branched chain family,Aspartate kinase,24h,PMM1648,locus_tag:locus_tag
PMM1649,2,0.32,0.29,0.2,1.0,"DNA replication, recombination, and repair",Excinuclease ABC subunit B (UvrB),24h,PMM1649,locus_tag:locus_tag
PMM1650,2,-1.45,0.12,0.09,0.03,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1650,locus_tag:locus_tag
PMM1652,2,0.55,0.43,0.3,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1652,locus_tag:locus_tag
PMM1653,2,0.37,0.21,0.15,0.88,Aspartate family,Dihydrodipicolinate synthetase,24h,PMM1653,locus_tag:locus_tag
PMM1655,2,-1.37,1.55,1.09,0.01,Other,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),24h,PMM1655,locus_tag:locus_tag
PMM1656,2,-0.28,2.12,1.5,0.2,"Degradation of proteins, peptides, and glycopeptides Clp protease proteolytic subunit",,24h,PMM1656,locus_tag:locus_tag
PMM1657,2,-0.82,0.34,0.24,0.15,"Degradation of proteins, peptides, and glycopeptides Clp protease ATP-binding subunit, ClpX",,24h,PMM1657,locus_tag:locus_tag
PMM1661,2,-2.81,1.16,0.82,0.0,Ribosomal proteins,50S ribosomal protein L35,24h,PMM1661,locus_tag:locus_tag
PMM1662,2,-2.32,1.34,0.94,0.0,Ribosomal proteins,50S ribosomal protein L20,24h,PMM1662,locus_tag:locus_tag
PMM1665,2,-1.72,0.13,0.09,0.0,"Fatty acid, phospholipid and sterol metabolism",sulfolipid (UDP-sulfoquinovose) biosynthesis protein,24h,PMM1665,locus_tag:locus_tag
PMM1667,2,0.69,0.39,0.28,0.71,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1667,locus_tag:locus_tag
PMM1669,2,2.25,0.94,0.67,0.0,Regulatory functions,putative Glycine cleavage H-protein,24h,PMM1669,locus_tag:locus_tag
PMM1671,2,2.53,0.94,0.66,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1671,locus_tag:locus_tag
PMM1672,2,2.04,0.51,0.36,0.01,"Fatty acid, phospholipid and sterol metabolism","Fatty acid desaturase, type 1",24h,PMM1672,locus_tag:locus_tag
PMM1673,2,-0.32,0.7,0.49,0.53,Ribosomal proteins,50S ribosomal protein L9,24h,PMM1673,locus_tag:locus_tag
PMM1676,2,0.94,1.22,0.86,0.73,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1676,locus_tag:locus_tag
PMM1678,2,0.96,0.53,0.37,0.41,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1678,locus_tag:locus_tag
PMM1680,2,3.09,0.94,0.66,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1680,locus_tag:locus_tag
PMM1683,2,-1.16,0.28,0.2,0.1,Conserved hypothetical protein,conserved hypothetical,24h,PMM1683,locus_tag:locus_tag
PMM1685,2,1.94,0.13,0.09,0.0,Regulatory functions,putative spermidine synthase,24h,PMM1685,locus_tag:locus_tag
PMM1688,2,0.0,0.14,0.1,0.65,Aminoacyl tRNA synthetases and tRNA modification,Aspartyl-tRNA synthetase,24h,PMM1688,locus_tag:locus_tag
PMM1689,2,1.44,0.24,0.17,0.15,Pyrimidine ribonucleotide biosynthesis,Glutamine amidotransferase class-I:CTP synthase,24h,PMM1689,locus_tag:locus_tag
PMM1694,2,1.5,0.62,0.44,0.06,"Cobalamin, heme, phycobilin and porphyrin",putative uroporphyrin-III C-methyltransferase,24h,PMM1694,locus_tag:locus_tag
PMM1697,2,-0.69,0.48,0.34,0.37,Transport and binding proteins,"Type II alternative RNA polymerase sigma factor, sigma-70 family",24h,PMM1697,locus_tag:locus_tag
PMM1700,2,3.8,0.42,0.3,0.0,Other,Aconitate hydratase B,24h,PMM1700,locus_tag:locus_tag
PMM1702,2,-0.68,0.07,0.05,0.25,Purine ribonucleotide biosynthesis,formyltetrahydrofolate deformylase,24h,PMM1702,locus_tag:locus_tag
PMM1703,2,1.45,0.05,0.04,0.07,Transport and binding proteins,NAD binding site:D-amino acid oxidase,24h,PMM1703,locus_tag:locus_tag
PMM1704,2,-1.72,0.74,0.52,0.13,Chaperones,"Molecular chaperone DnaK2, heat shock protein hsp70-2",24h,PMM1704,locus_tag:locus_tag
PMM1706,2,-2.2,2.23,1.58,0.0,Ribosomal proteins,30S ribosomal protein S6,24h,PMM1706,locus_tag:locus_tag
PMM1707,2,0.62,0.76,0.54,0.88,Glutamate family / Nitrogen assimilation,Argininosuccinate synthase,24h,PMM1707,locus_tag:locus_tag
PMM1708,2,0.12,0.65,0.46,0.79,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1708,locus_tag:locus_tag
PMM1716,2,0.86,0.82,0.58,0.39,Aspartate family,No Cyanobase Name,24h,PMM1716,locus_tag:locus_tag
PMM1717,2,-3.05,0.42,0.3,0.0,Other,No Cyanobase Name,24h,PMM1152a,tier1:locus_tag
PMM1718,2,-0.73,0.89,0.63,0.76,Other,No Cyanobase Name,24h,PMM1718,locus_tag:locus_tag
